Term,Description,AllParent,AllChild,SigInParent,SigInChild,Exp,p,adjP,FDR
GO:0090398,cellular senescence,909,32,8,3, 0.26,0.000126,0.099,0.077
GO:0006896,Golgi to vacuole transport,747,16,5,2, 0.09,0.000195,0.153,0.077
GO:2000178,negative regulation of neural ...,391,11,4,2, 0.09,0.000398,0.312,0.104
GO:0030534,adult behavior,3066,102,33,5, 1.06,0.000675,0.529,0.115
GO:0034067,protein localization to Golgi ...,440,15,4,2, 0.12,0.000802,0.627,0.115
GO:0090342,regulation of cell aging,5801,20,53,2, 0.17,0.000874,0.683,0.115
GO:0033692,cellular polysaccharide biosyn...,2516,24,20,2, 0.18,0.001129,0.880,0.127
GO:0035094,response to nicotine,325,10,6,2, 0.15,0.001544,1.000,0.144
GO:0010508,positive regulation of autophagy,2691,48,27,3, 0.46,0.001649,1.000,0.144
GO:0021591,ventricular system development,2274,21,24,2, 0.20,0.002209,1.000,0.174
GO:2000772,regulation of cellular senescence,301,15,3,2, 0.13,0.002635,1.000,0.180
GO:0038084,vascular endothelial growth fa...,289,19,8,3, 0.46,0.003022,1.000,0.180
GO:0009267,cellular response to starvation,915,60,8,3, 0.50,0.003185,1.000,0.180
GO:0042594,response to starvation,1663,65,14,3, 0.53,0.003432,1.000,0.180
GO:0046777,protein autophosphorylation,1047,133,7,4, 0.87,0.003568,1.000,0.180
GO:0030325,adrenal gland development,241,13,4,2, 0.19,0.003875,1.000,0.180
GO:0000271,polysaccharide biosynthetic pr...,2604,30,22,2, 0.24,0.003883,1.000,0.180
GO:0034637,cellular carbohydrate biosynth...,7700,28,77,2, 0.26,0.005718,1.000,0.235
GO:0009117,nucleotide metabolic process,314,311,5,4, 4.97,0.005873,1.000,0.235
GO:0007569,cell aging,2126,57,23,3, 0.59,0.006114,1.000,0.235
GO:0044264,cellular polysaccharide metabo...,4523,42,31,2, 0.28,0.006445,1.000,0.235
GO:0022406,membrane docking,6632,27,72,2, 0.27,0.006926,1.000,0.235
GO:0034394,protein localization to cell s...,845,34,7,2, 0.27,0.006952,1.000,0.235
GO:0048536,spleen development,474,26,5,2, 0.26,0.007259,1.000,0.235
GO:0035924,cellular response to vascular ...,309,28,7,3, 0.58,0.007490,1.000,0.235
GO:0055001,muscle cell development,1152,83,15,4, 1.04,0.007841,1.000,0.235
