chromosome_id	chromosome_name	ensembl_gene_id	start_position	end_position	strand	external_gene_name	description
1	1	ENSOCUG00000000007	17829741	17838764	-1	GLIPR2	GLI pathogenesis-related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
1	1	ENSOCUG00000000008	17822405	17824171	-1	CCIN	calicin [Source:HGNC Symbol;Acc:HGNC:1568]
1	1	ENSOCUG00000000009	17781119	17804553	-1	CLTA	clathrin, light chain A [Source:HGNC Symbol;Acc:HGNC:2090]
1	1	ENSOCUG00000000010	17736124	17776070	1	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]
1	1	ENSOCUG00000000044	108155340	108200162	1	C11orf65	chromosome 11 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:28519]
1	1	ENSOCUG00000000060	15546196	15600217	-1	TDRD7	tudor domain containing 7 [Source:HGNC Symbol;Acc:HGNC:30831]
1	1	ENSOCUG00000000068	16286904	16471215	-1	FRMPD1	FERM and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29159]
1	1	ENSOCUG00000000078	194445847	194448752	-1	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]
1	1	ENSOCUG00000000079	193317861	193328548	1	MS4A8	membrane-spanning 4-domains, subfamily A, member 8 [Source:HGNC Symbol;Acc:HGNC:13380]
1	1	ENSOCUG00000000145	76776106	76777506	1	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]
1	1	ENSOCUG00000000162	144262800	144270657	-1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SCQ8]
1	1	ENSOCUG00000000164	144253797	144261684	1	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]
1	1	ENSOCUG00000000165	144218494	144228257	-1	FOLR1	folate receptor 1 (adult) [Source:HGNC Symbol;Acc:HGNC:3791]
1	1	ENSOCUG00000000167	144172516	144183456	-1	INPPL1	inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]
1	1	ENSOCUG00000000169	144168872	144172546	1	PHOX2A	paired-like homeobox 2a [Source:HGNC Symbol;Acc:HGNC:691]
1	1	ENSOCUG00000000191	190715392	190719055	-1	YPEL4	yippee like 4 [Source:HGNC Symbol;Acc:HGNC:18328]
1	1	ENSOCUG00000000199	123459156	123561012	-1	CCDC67	coiled-coil domain containing 67 [Source:HGNC Symbol;Acc:HGNC:26344]
1	1	ENSOCUG00000000213	84138726	84350987	-1	NTM	neurotrimin [Source:HGNC Symbol;Acc:HGNC:17941]
1	1	ENSOCUG00000000222	161257078	161376246	1	ANO5	anoctamin 5 [Source:HGNC Symbol;Acc:HGNC:27337]
1	1	ENSOCUG00000000230	110597425	110617575	1	KBTBD3	kelch repeat and BTB (POZ) domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22934]
1	1	ENSOCUG00000000231	110575229	110597042	-1	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]
1	1	ENSOCUG00000000252	77463673	77464272	1	DIRAS2	DIRAS family, GTP-binding RAS-like 2 [Source:HGNC Symbol;Acc:HGNC:19323]
1	1	ENSOCUG00000000256	71489549	71517212	1	PTPDC1	protein tyrosine phosphatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30184]
1	1	ENSOCUG00000000271	56316399	56493487	1	MAMDC2	MAM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23673]
1	1	ENSOCUG00000000302	194158715	194166849	-1	ZDHHC24	zinc finger, DHHC-type containing 24 [Source:HGNC Symbol;Acc:HGNC:27387]
1	1	ENSOCUG00000000318	142966114	143086222	1	FAM168A	family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]
1	1	ENSOCUG00000000319	18963940	18970292	1		
1	1	ENSOCUG00000000342	114818553	114892730	-1	CEP126	centrosomal protein 126kDa [Source:HGNC Symbol;Acc:HGNC:29264]
1	1	ENSOCUG00000000355	19256669	19275469	1	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]
1	1	ENSOCUG00000000357	19215355	19215846	1	RPP25L	ribonuclease P/MRP 25kDa subunit-like [Source:HGNC Symbol;Acc:HGNC:19909]
1	1	ENSOCUG00000000358	19205264	19213000	1	DCTN3	dynactin subunit 3 [Source:HGNC Symbol;Acc:HGNC:2713]
1	1	ENSOCUG00000000361	19197715	19203649	1	ARID3C	AT-rich interaction domain 3C [Source:HGNC Symbol;Acc:HGNC:21209]
1	1	ENSOCUG00000000364	19185391	19187823	1	SIGMAR1	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]
1	1	ENSOCUG00000000370	86225571	86249318	1	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8 [Source:HGNC Symbol;Acc:HGNC:224]
1	1	ENSOCUG00000000373	145903319	145904257	1	OLFR604	olfactory receptor 604  [Source:RefSeq peptide;Acc:NP_001164914]
1	1	ENSOCUG00000000374	86179117	86204197	-1	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15 [Source:HGNC Symbol;Acc:HGNC:16305]
1	1	ENSOCUG00000000432	156189484	156240047	-1	COPB1	coatomer protein complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]
1	1	ENSOCUG00000000439	156244163	156261134	-1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G1SDA8]
1	1	ENSOCUG00000000442	74835768	74956226	1	ERCC6L2	excision repair cross-complementation group 6 like 2 [Source:HGNC Symbol;Acc:HGNC:26922]
1	1	ENSOCUG00000000448	190289636	190301547	1	LRRC55	leucine rich repeat containing 55 [Source:HGNC Symbol;Acc:HGNC:32324]
1	1	ENSOCUG00000000460	148521735	148553927	1	NLRP14	NLR family, pyrin domain containing 14 [Source:HGNC Symbol;Acc:HGNC:22939]
1	1	ENSOCUG00000000474	191922579	191935862	-1		
1	1	ENSOCUG00000000518	47671907	47766804	-1		Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:U3KLV6]
1	1	ENSOCUG00000000526	133905486	133940995	1	PRCP	prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344]
1	1	ENSOCUG00000000531	68036931	68132445	-1	TLE1	transducin like enhancer of split 1 [Source:HGNC Symbol;Acc:HGNC:11837]
1	1	ENSOCUG00000000567	146197749	146198711	-1	OR52Z1	olfactory receptor family 52 subfamily Z member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19596]
1	1	ENSOCUG00000000568	146236498	146238305	-1	HBB2	
1	1	ENSOCUG00000000649	123723183	123786844	1	SLC36A4	solute carrier family 36 (proton/amino acid symporter), member 4 [Source:HGNC Symbol;Acc:HGNC:19660]
1	1	ENSOCUG00000000678	73722848	74100962	1	C9orf3	chromosome 9 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:1361]
