ensembl_gene_id,chr_name,gene_name,Description,gene_start,gene_end,min_snp,p,pos,aff,unaff,upstream,downstream,in_gene,nAff,nUnaff,FDR,dist2Gene
ENSOCUG00000009545,AAGW02082626,NA,NA,3518,4438,193861_74,1.617e-5,506,0/0/41,0/12/21,TRUE,FALSE,FALSE,41,33,0.11831577999999998,3012
ENSOCUG00000007501,GL018847,NA,NA,14784,22732,246079_26,3.272e-5,60585,11/23/5,3/9/21,TRUE,FALSE,FALSE,39,33,0.11831577999999998,37853
ENSOCUG00000012332,GL018847,SPTAN1,"spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]",54882,118726,246079_26,3.272e-5,60585,11/23/5,3/9/21,FALSE,FALSE,TRUE,39,33,0.11831577999999998,0
ENSOCUG00000012360,GL018847,WDR34,WD repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:28296],37880,54570,246079_26,3.272e-5,60585,11/23/5,3/9/21,FALSE,TRUE,FALSE,39,33,0.11831577999999998,6015
ENSOCUG00000008855,GL018847,CERCAM,cerebral endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:23723],226123,234809,245962_25,5.492e-5,216450,15/11/3,5/4/18,FALSE,TRUE,FALSE,29,27,0.11831577999999998,9673
ENSOCUG00000012298,GL018847,ODF2,outer dense fiber of sperm tails 2 [Source:HGNC Symbol;Acc:HGNC:8114],179216,213840,245962_25,5.492e-5,216450,15/11/3,5/4/18,TRUE,FALSE,FALSE,29,27,0.11831577999999998,2610
ENSOCUG00000001735,GL019024,COX4I1,cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265],93618,97740,262709_25,7.687e-5,101098,1/21/12,0/3/22,FALSE,TRUE,FALSE,34,25,0.11831577999999998,3358
ENSOCUG00000011232,GL019024,EMC8,ER membrane protein complex subunit 8 [Source:HGNC Symbol;Acc:HGNC:7864],76895,92430,262709_25,7.687e-5,101098,1/21/12,0/3/22,TRUE,FALSE,FALSE,34,25,0.11831577999999998,8668
ENSOCUG00000005643,GL018803,TAF1B,"TATA-box binding protein associated factor, RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:11533]",108145,177087,237897_36,8.966e-5,78514,0/32/10,10/14/12,FALSE,TRUE,FALSE,42,36,0.11831577999999998,29631
ENSOCUG00000017717,GL018803,GRHL1,grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923],46197,89333,237897_36,8.966e-5,78514,0/32/10,10/14/12,FALSE,FALSE,TRUE,42,36,0.11831577999999998,0
