ensembl_gene_id	chromosome_id	start_position	end_position
ENSOCUG00000000007	1	17829741	17838764
ENSOCUG00000000008	1	17822405	17824171
ENSOCUG00000000009	1	17781119	17804553
ENSOCUG00000000010	1	17736124	17776070
ENSOCUG00000000044	1	108155340	108200162
ENSOCUG00000000060	1	15546196	15600217
ENSOCUG00000000068	1	16286904	16471215
ENSOCUG00000000078	1	194445847	194448752
ENSOCUG00000000079	1	193317861	193328548
ENSOCUG00000000145	1	76776106	76777506
ENSOCUG00000000162	1	144262800	144270657
ENSOCUG00000000164	1	144253797	144261684
ENSOCUG00000000165	1	144218494	144228257
ENSOCUG00000000167	1	144172516	144183456
ENSOCUG00000000169	1	144168872	144172546
ENSOCUG00000000191	1	190715392	190719055
ENSOCUG00000000199	1	123459156	123561012
ENSOCUG00000000213	1	84138726	84350987
ENSOCUG00000000222	1	161257078	161376246
ENSOCUG00000000230	1	110597425	110617575
ENSOCUG00000000231	1	110575229	110597042
ENSOCUG00000000252	1	77463673	77464272
ENSOCUG00000000256	1	71489549	71517212
ENSOCUG00000000271	1	56316399	56493487
ENSOCUG00000000302	1	194158715	194166849
ENSOCUG00000000318	1	142966114	143086222
ENSOCUG00000000319	1	18963940	18970292
ENSOCUG00000000342	1	114818553	114892730
ENSOCUG00000000355	1	19256669	19275469
ENSOCUG00000000357	1	19215355	19215846
ENSOCUG00000000358	1	19205264	19213000
ENSOCUG00000000361	1	19197715	19203649
ENSOCUG00000000364	1	19185391	19187823
ENSOCUG00000000370	1	86225571	86249318
ENSOCUG00000000373	1	145903319	145904257
ENSOCUG00000000374	1	86179117	86204197
ENSOCUG00000000432	1	156189484	156240047
ENSOCUG00000000439	1	156244163	156261134
ENSOCUG00000000442	1	74835768	74956226
ENSOCUG00000000448	1	190289636	190301547
ENSOCUG00000000460	1	148521735	148553927
ENSOCUG00000000474	1	191922579	191935862
ENSOCUG00000000518	1	47671907	47766804
ENSOCUG00000000526	1	133905486	133940995
ENSOCUG00000000531	1	68036931	68132445
ENSOCUG00000000567	1	146197749	146198711
ENSOCUG00000000568	1	146236498	146238305
ENSOCUG00000000649	1	123723183	123786844
ENSOCUG00000000678	1	73722848	74100962
ENSOCUG00000000691	1	145675027	145675980
ENSOCUG00000000693	1	145705848	145706858
ENSOCUG00000000702	1	145715433	145716371
ENSOCUG00000000704	1	145724327	145725268
ENSOCUG00000000705	1	145735613	145736560
ENSOCUG00000000713	1	129407416	129698486
ENSOCUG00000000715	1	174450772	174540825
ENSOCUG00000000718	1	174575649	174726843
ENSOCUG00000000721	1	174740454	174835888
