chromosome_id	chromosome_name	ensembl_gene_id	start_position	end_position	strand
1	1	ENSOCUG00000000007	17829741	17838764	-1
1	1	ENSOCUG00000000008	17822405	17824171	-1
1	1	ENSOCUG00000000009	17781119	17804553	-1
1	1	ENSOCUG00000000010	17736124	17776070	1
1	1	ENSOCUG00000000044	108155340	108200162	1
1	1	ENSOCUG00000000060	15546196	15600217	-1
1	1	ENSOCUG00000000068	16286904	16471215	-1
1	1	ENSOCUG00000000078	194445847	194448752	-1
1	1	ENSOCUG00000000079	193317861	193328548	1
1	1	ENSOCUG00000000145	76776106	76777506	1
1	1	ENSOCUG00000000162	144262800	144270657	-1
1	1	ENSOCUG00000000164	144253797	144261684	1
1	1	ENSOCUG00000000165	144218494	144228257	-1
1	1	ENSOCUG00000000167	144172516	144183456	-1
1	1	ENSOCUG00000000169	144168872	144172546	1
1	1	ENSOCUG00000000191	190715392	190719055	-1
1	1	ENSOCUG00000000199	123459156	123561012	-1
1	1	ENSOCUG00000000213	84138726	84350987	-1
1	1	ENSOCUG00000000222	161257078	161376246	1
1	1	ENSOCUG00000000230	110597425	110617575	1
1	1	ENSOCUG00000000231	110575229	110597042	-1
1	1	ENSOCUG00000000252	77463673	77464272	1
1	1	ENSOCUG00000000256	71489549	71517212	1
1	1	ENSOCUG00000000271	56316399	56493487	1
1	1	ENSOCUG00000000302	194158715	194166849	-1
1	1	ENSOCUG00000000318	142966114	143086222	1
1	1	ENSOCUG00000000319	18963940	18970292	1
1	1	ENSOCUG00000000342	114818553	114892730	-1
1	1	ENSOCUG00000000355	19256669	19275469	1
1	1	ENSOCUG00000000357	19215355	19215846	1
1	1	ENSOCUG00000000358	19205264	19213000	1
1	1	ENSOCUG00000000361	19197715	19203649	1
1	1	ENSOCUG00000000364	19185391	19187823	1
1	1	ENSOCUG00000000370	86225571	86249318	1
1	1	ENSOCUG00000000373	145903319	145904257	1
1	1	ENSOCUG00000000374	86179117	86204197	-1
1	1	ENSOCUG00000000432	156189484	156240047	-1
1	1	ENSOCUG00000000439	156244163	156261134	-1
1	1	ENSOCUG00000000442	74835768	74956226	1
1	1	ENSOCUG00000000448	190289636	190301547	1
1	1	ENSOCUG00000000460	148521735	148553927	1
1	1	ENSOCUG00000000474	191922579	191935862	-1
1	1	ENSOCUG00000000518	47671907	47766804	-1
1	1	ENSOCUG00000000526	133905486	133940995	1
1	1	ENSOCUG00000000531	68036931	68132445	-1
1	1	ENSOCUG00000000567	146197749	146198711	-1
1	1	ENSOCUG00000000568	146236498	146238305	-1
1	1	ENSOCUG00000000649	123723183	123786844	1
1	1	ENSOCUG00000000678	73722848	74100962	1
1	1	ENSOCUG00000000691	145675027	145675980	1
1	1	ENSOCUG00000000693	145705848	145706858	1
1	1	ENSOCUG00000000702	145715433	145716371	1
1	1	ENSOCUG00000000704	145724327	145725268	-1
1	1	ENSOCUG00000000705	145735613	145736560	-1
1	1	ENSOCUG00000000713	129407416	129698486	-1
1	1	ENSOCUG00000000715	174450772	174540825	1
1	1	ENSOCUG00000000718	174575649	174726843	-1
1	1	ENSOCUG00000000721	174740454	174835888	-1
1	1	ENSOCUG00000000733	54454046	54505696	1
1	1	ENSOCUG00000000737	13354916	13387881	-1
1	1	ENSOCUG00000000738	20417696	20451513	1
1	1	ENSOCUG00000000749	159269550	159292300	1
1	1	ENSOCUG00000000750	159294030	159448831	1
1	1	ENSOCUG00000000757	159534717	159590441	1
1	1	ENSOCUG00000000761	159609193	159907907	1
1	1	ENSOCUG00000000795	58821881	58831222	-1
1	1	ENSOCUG00000000819	58321733	58350353	-1
1	1	ENSOCUG00000000822	70630116	70705783	-1
1	1	ENSOCUG00000000847	45429244	45862102	1
1	1	ENSOCUG00000000861	184186458	184231084	1
1	1	ENSOCUG00000000864	101025369	101257087	1
1	1	ENSOCUG00000000905	194061531	194067045	1
1	1	ENSOCUG00000000957	138693911	138694363	-1
1	1	ENSOCUG00000000958	138680349	138688210	1
1	1	ENSOCUG00000000982	46416417	46420263	1
1	1	ENSOCUG00000001002	16680113	16741367	-1
1	1	ENSOCUG00000001004	146677345	146678286	1
1	1	ENSOCUG00000001034	3635006	3795098	1
1	1	ENSOCUG00000001041	17356594	17440708	-1
1	1	ENSOCUG00000001074	146158595	146159539	-1
1	1	ENSOCUG00000001078	121990693	122108223	-1
1	1	ENSOCUG00000001083	189464667	189465614	1
1	1	ENSOCUG00000001089	110678415	111069605	-1
1	1	ENSOCUG00000001090	113845847	113860265	1
1	1	ENSOCUG00000001092	113830200	113840288	1
1	1	ENSOCUG00000001094	189455848	189456798	1
1	1	ENSOCUG00000001096	123182107	123184962	1
1	1	ENSOCUG00000001103	111573022	111585250	1
1	1	ENSOCUG00000001131	58141887	58227610	-1
1	1	ENSOCUG00000001183	36228383	36462226	-1
1	1	ENSOCUG00000001196	107077547	107078197	-1
1	1	ENSOCUG00000001215	172613280	172695336	1
1	1	ENSOCUG00000001224	19162665	19163362	1
1	1	ENSOCUG00000001263	96820855	96892160	-1
1	1	ENSOCUG00000001299	153868578	153986744	1
1	1	ENSOCUG00000001302	154012612	154073667	1
1	1	ENSOCUG00000001307	184491938	184493883	-1
1	1	ENSOCUG00000001311	186776056	186808475	-1
1	1	ENSOCUG00000001320	26481674	26589887	-1
1	1	ENSOCUG00000001328	63590621	63836968	1
1	1	ENSOCUG00000001338	190612228	190615383	-1
1	1	ENSOCUG00000001344	172902325	172904340	1
1	1	ENSOCUG00000001347	189578204	189579136	-1
1	1	ENSOCUG00000001377	93432180	93433106	-1
1	1	ENSOCUG00000001398	173444687	173481045	1
1	1	ENSOCUG00000001403	93941059	93942000	-1
1	1	ENSOCUG00000001405	173489116	173658839	-1
1	1	ENSOCUG00000001433	93441975	93442928	-1
1	1	ENSOCUG00000001495	147028724	147030714	-1
1	1	ENSOCUG00000001515	19132434	19133670	1
1	1	ENSOCUG00000001532	173209644	173222766	-1
1	1	ENSOCUG00000001548	69537919	69647427	-1
1	1	ENSOCUG00000001616	62290512	62721376	1
1	1	ENSOCUG00000001622	62749021	62763820	-1
1	1	ENSOCUG00000001629	121903885	121920964	1
1	1	ENSOCUG00000001631	121868368	121869852	-1
1	1	ENSOCUG00000001670	185179185	185257125	-1
1	1	ENSOCUG00000001671	185260003	185266469	1
1	1	ENSOCUG00000001675	185270781	185446373	-1
1	1	ENSOCUG00000001695	79590183	79596869	-1
1	1	ENSOCUG00000001714	101861360	101884868	-1
1	1	ENSOCUG00000001726	140610731	140630731	1
1	1	ENSOCUG00000001730	85675505	85716289	1
1	1	ENSOCUG00000001789	141815993	141862334	-1
1	1	ENSOCUG00000001854	149383408	149384340	1
1	1	ENSOCUG00000001868	4234064	4306902	1
1	1	ENSOCUG00000001882	4225959	4229556	-1
1	1	ENSOCUG00000001887	4047607	4152166	1
1	1	ENSOCUG00000001904	19011842	19013572	1
1	1	ENSOCUG00000001925	170826680	171106461	1
1	1	ENSOCUG00000001933	187290554	187417474	1
1	1	ENSOCUG00000001953	70837758	70877936	-1
1	1	ENSOCUG00000001990	72044416	72127165	1
1	1	ENSOCUG00000001992	16514248	16543848	1
1	1	ENSOCUG00000001996	16476480	16479952	1
1	1	ENSOCUG00000001999	72132198	72165562	-1
1	1	ENSOCUG00000002019	26020642	26021238	-1
1	1	ENSOCUG00000002040	148403090	148404037	1
1	1	ENSOCUG00000002052	186226060	186278260	-1
1	1	ENSOCUG00000002062	145506227	145507174	-1
1	1	ENSOCUG00000002064	145496637	145497599	-1
1	1	ENSOCUG00000002066	186291585	186537600	1
1	1	ENSOCUG00000002073	186537949	186549031	-1
1	1	ENSOCUG00000002076	186576128	186593918	1
1	1	ENSOCUG00000002095	186608829	186615938	1
1	1	ENSOCUG00000002097	146940517	146941446	1
1	1	ENSOCUG00000002099	186620644	186661365	1
1	1	ENSOCUG00000002111	63425596	63427427	1
1	1	ENSOCUG00000002112	186662626	186679272	-1
1	1	ENSOCUG00000002114	146617940	146653039	1
1	1	ENSOCUG00000002138	192300867	192301796	1
1	1	ENSOCUG00000002141	192308689	192309624	1
1	1	ENSOCUG00000002146	192323321	192324217	1
1	1	ENSOCUG00000002148	192371391	192413266	-1
1	1	ENSOCUG00000002156	192438348	192472361	-1
1	1	ENSOCUG00000002174	104201274	104209167	-1
1	1	ENSOCUG00000002231	51852056	51887742	-1
1	1	ENSOCUG00000002420	192825931	192833039	1
1	1	ENSOCUG00000002438	16176016	16227137	-1
1	1	ENSOCUG00000002452	156699246	156702569	-1
1	1	ENSOCUG00000002462	34118867	34381029	1
1	1	ENSOCUG00000002481	113615791	113627810	1
1	1	ENSOCUG00000002488	146896735	146897685	-1
1	1	ENSOCUG00000002523	141995052	142055821	-1
1	1	ENSOCUG00000002551	36539442	36916529	-1
1	1	ENSOCUG00000002573	19828874	19909518	1
1	1	ENSOCUG00000002609	92485618	92485836	-1
1	1	ENSOCUG00000002623	92468018	92479309	1
1	1	ENSOCUG00000002626	150023845	150029472	-1
1	1	ENSOCUG00000002631	92426838	92463132	1
1	1	ENSOCUG00000002635	92362378	92378807	-1
1	1	ENSOCUG00000002637	55082579	55083442	1
1	1	ENSOCUG00000002647	92347264	92360372	1
1	1	ENSOCUG00000002653	18786781	18793072	1
1	1	ENSOCUG00000002654	148262049	148262999	-1
1	1	ENSOCUG00000002655	92321748	92334381	1
1	1	ENSOCUG00000002684	95103116	95106721	1
1	1	ENSOCUG00000002687	94226882	94229774	1
1	1	ENSOCUG00000002692	97040966	97353739	-1
1	1	ENSOCUG00000002805	152222925	152261773	1
1	1	ENSOCUG00000002807	152267455	152308505	-1
1	1	ENSOCUG00000002831	97671394	97760682	-1
1	1	ENSOCUG00000002860	122255099	122302114	-1
1	1	ENSOCUG00000002876	96909651	96978705	-1
1	1	ENSOCUG00000002882	108423951	108447027	-1
1	1	ENSOCUG00000002930	113919834	113966036	1
1	1	ENSOCUG00000002959	189530301	189531236	1
1	1	ENSOCUG00000002968	191518378	191519414	1
1	1	ENSOCUG00000002973	74451134	74484677	-1
1	1	ENSOCUG00000002985	189407072	189407992	1
